Frame,Visibility,X,Y,Z,Event,Timestamp
0,1,466.0,195.0,0.0,0,1655352727.9142947
1,1,477.0,197.0,0.0,0,1655352727.9155576
2,1,487.0,206.0,0.0,0,1655352727.918577
3,1,497.0,210.0,0.0,0,1655352727.9414706
4,1,507.0,217.0,0.0,0,1655352727.943607
5,1,517.0,222.0,0.0,0,1655352727.9451864
6,1,527.0,227.0,0.0,0,1655352727.9470837
7,1,536.0,233.0,0.0,0,1655352727.9700482
8,1,546.0,239.0,0.0,0,1655352727.9721007
9,1,556.0,246.0,0.0,0,1655352727.9738357
10,1,564.0,252.0,0.0,0,1655352727.97575
11,1,574.0,257.0,0.0,0,1655352727.9987063
12,1,584.0,264.0,0.0,0,1655352728.0007126
13,1,593.0,270.0,0.0,0,1655352728.002345
14,1,602.0,277.0,0.0,0,1655352728.0043747
15,1,612.0,284.0,0.0,0,1655352728.027907
16,1,621.0,291.0,0.0,0,1655352728.0299163
17,1,630.0,298.0,0.0,0,1655352728.0319557
18,1,640.0,305.0,0.0,0,1655352728.034447
19,1,650.0,312.0,0.0,0,1655352728.0566163
20,1,659.0,320.0,0.0,0,1655352728.0585792
21,1,669.0,328.0,0.0,0,1655352728.060488
22,1,678.0,335.0,0.0,0,1655352728.0630188
23,1,688.0,344.0,0.0,0,1655352728.085316
24,1,698.0,353.0,0.0,0,1655352728.0871751
25,1,708.0,361.0,0.0,0,1655352728.089213
26,1,718.0,369.0,0.0,0,1655352728.0916996
27,1,728.0,378.0,0.0,0,1655352728.114028
28,1,738.0,387.0,0.0,0,1655352728.1160345
29,1,748.0,397.0,0.0,0,1655352728.1177783
30,1,758.0,406.0,0.0,0,1655352728.120232
31,1,769.0,416.0,0.0,0,1655352728.1427505
32,1,779.0,427.0,0.0,0,1655352728.1446178
33,1,790.0,437.0,0.0,0,1655352728.1467462
34,1,800.0,448.0,0.0,0,1655352728.1494546
35,1,811.0,458.0,0.0,0,1655352728.171469
36,1,821.0,469.0,0.0,0,1655352728.1732726
37,1,832.0,481.0,0.0,0,1655352728.1753144
38,1,842.0,492.0,0.0,0,1655352728.1780162
39,1,854.0,504.0,0.0,0,1655352728.200164
40,1,864.0,516.0,0.0,0,1655352728.2017894
41,1,875.0,528.0,0.0,0,1655352728.2039986
42,1,886.0,540.0,0.0,0,1655352728.2067354
43,1,896.0,553.0,0.0,0,1655352728.2289412
44,1,907.0,566.0,0.0,0,1655352728.2306144
45,1,917.0,579.0,0.0,0,1655352728.2325888
46,1,929.0,593.0,0.0,0,1655352728.2353325
47,1,939.0,606.0,0.0,0,1655352728.2576346
48,1,950.0,620.0,0.0,0,1655352728.2591107
49,1,962.0,635.0,0.0,0,1655352728.261315
50,1,972.0,649.0,0.0,0,1655352728.2656996
51,1,982.0,664.0,0.0,0,1655352728.2863083
52,1,994.0,678.0,0.0,0,1655352728.287643
53,1,1004.0,694.0,0.0,0,1655352728.290694
54,1,1014.0,708.0,0.0,0,1655352728.2990284
55,1,1025.0,724.0,0.0,0,1655352728.3149512
56,1,1035.0,739.0,0.0,0,1655352728.3165288
57,1,1045.0,755.0,0.0,0,1655352728.3240376
58,1,1055.0,771.0,0.0,0,1655352728.332297
59,1,1065.0,785.0,0.0,0,1655352728.3435066
60,1,1074.0,802.0,0.0,0,1655352728.3489988
61,1,1085.0,819.0,0.0,0,1655352728.3573835
62,1,1094.0,834.0,0.0,0,1655352728.365695
63,1,1104.0,851.0,0.0,0,1655352728.3740256
64,1,1113.0,867.0,0.0,0,1655352728.3823578
