Frame,Visibility,X,Y,Z,Event,Timestamp
0,1,1061.0,224.0,0.0,0,1655352727.9140348
1,1,1045.0,230.0,0.0,0,1655352727.9163451
2,1,1031.0,236.0,0.0,0,1655352727.9175596
3,1,1018.0,242.0,0.0,0,1655352727.9414065
4,1,1005.0,248.0,0.0,0,1655352727.9435697
5,1,992.0,255.0,0.0,0,1655352727.945105
6,1,979.0,260.0,0.0,0,1655352727.9465172
7,1,967.0,266.0,0.0,0,1655352727.9704812
8,1,953.0,273.0,0.0,0,1655352727.9724116
9,1,940.0,278.0,0.0,0,1655352727.9746337
10,1,927.0,285.0,0.0,0,1655352727.9772112
11,1,914.0,292.0,0.0,0,1655352727.9990878
12,1,901.0,298.0,0.0,0,1655352728.0011396
13,1,889.0,306.0,0.0,0,1655352728.003156
14,1,875.0,313.0,0.0,0,1655352728.005729
15,1,861.0,321.0,0.0,0,1655352728.027652
16,1,847.0,328.0,0.0,0,1655352728.029691
17,1,835.0,336.0,0.0,0,1655352728.0318315
18,1,821.0,344.0,0.0,0,1655352728.0343606
19,1,807.0,352.0,0.0,0,1655352728.0562258
20,1,793.0,362.0,0.0,0,1655352728.0582604
21,1,779.0,370.0,0.0,0,1655352728.0602982
22,1,765.0,380.0,0.0,0,1655352728.0628374
23,1,751.0,389.0,0.0,0,1655352728.0848
24,1,736.0,398.0,0.0,0,1655352728.086764
25,1,721.0,408.0,0.0,0,1655352728.0888734
26,1,707.0,418.0,0.0,0,1655352728.0913692
27,1,692.0,428.0,0.0,0,1655352728.1133742
28,1,677.0,439.0,0.0,0,1655352728.1153126
29,1,662.0,450.0,0.0,0,1655352728.1173496
30,1,646.0,461.0,0.0,0,1655352728.1198535
31,1,632.0,473.0,0.0,0,1655352728.1419635
32,1,616.0,485.0,0.0,0,1655352728.1438377
33,1,601.0,497.0,0.0,0,1655352728.146135
34,1,585.0,509.0,0.0,0,1655352728.1488204
35,1,570.0,522.0,0.0,0,1655352728.170529
36,1,554.0,534.0,0.0,0,1655352728.172371
37,1,540.0,546.0,0.0,0,1655352728.1746204
38,1,524.0,560.0,0.0,0,1655352728.177295
39,1,507.0,574.0,0.0,0,1655352728.1990912
40,1,491.0,588.0,0.0,0,1655352728.2008958
41,1,475.0,602.0,0.0,0,1655352728.2031827
42,1,460.0,616.0,0.0,0,1655352728.2071643
43,1,444.0,630.0,0.0,0,1655352728.227701
44,1,429.0,645.0,0.0,0,1655352728.2293994
45,1,412.0,660.0,0.0,0,1655352728.2321005
46,1,398.0,674.0,0.0,0,1655352728.2405183
47,1,382.0,690.0,0.0,0,1655352728.2562864
48,1,367.0,705.0,0.0,0,1655352728.257897
49,1,353.0,720.0,0.0,0,1655352728.2654912
50,1,339.0,735.0,0.0,0,1655352728.2738202
51,1,323.0,751.0,0.0,0,1655352728.2848375
52,1,308.0,767.0,0.0,0,1655352728.2905047
53,1,294.0,782.0,0.0,0,1655352728.298838
54,1,280.0,798.0,0.0,0,1655352728.3071513
55,1,267.0,814.0,0.0,0,1655352728.3154292
56,1,254.0,829.0,0.0,0,1655352728.3237996
57,1,240.0,845.0,0.0,0,1655352728.3321276
58,1,228.0,861.0,0.0,0,1655352728.340473
59,1,214.0,876.0,0.0,0,1655352728.3488312
60,1,202.0,893.0,0.0,0,1655352728.3571668
61,1,191.0,908.0,0.0,0,1655352728.3654504
62,1,180.0,922.0,0.0,0,1655352728.3737893
63,1,169.0,937.0,0.0,0,1655352728.382147
