Frame,Visibility,X,Y,Z,Event,Timestamp
78160,0,0.0,0.0,0.0,0,1654596614.6180625
78161,0,0.0,0.0,0.0,0,1654596614.62643
78162,0,0.0,0.0,0.0,0,1654596614.6347637
78163,0,0.0,0.0,0.0,0,1654596614.6430578
78164,0,0.0,0.0,0.0,0,1654596614.651363
78165,0,0.0,0.0,0.0,0,1654596614.659814
78166,0,0.0,0.0,0.0,0,1654596614.668125
78167,0,0.0,0.0,0.0,0,1654596614.6764069
78168,0,0.0,0.0,0.0,0,1654596614.6847718
78169,0,0.0,0.0,0.0,0,1654596614.6930838
78170,0,0.0,0.0,0.0,0,1654596614.7014246
78171,0,0.0,0.0,0.0,0,1654596614.7097554
78172,0,0.0,0.0,0.0,0,1654596614.718037
78173,0,0.0,0.0,0.0,0,1654596614.726418
78174,0,0.0,0.0,0.0,0,1654596614.734788
78175,0,0.0,0.0,0.0,0,1654596614.743111
78176,0,0.0,0.0,0.0,0,1654596614.7513833
78177,0,0.0,0.0,0.0,0,1654596614.75976
78178,0,0.0,0.0,0.0,0,1654596614.768092
78179,0,0.0,0.0,0.0,0,1654596614.776416
78180,0,0.0,0.0,0.0,0,1654596614.784783
78181,0,0.0,0.0,0.0,0,1654596614.7930906
78182,0,0.0,0.0,0.0,0,1654596614.8013966
78183,0,0.0,0.0,0.0,0,1654596614.8097472
78184,0,0.0,0.0,0.0,0,1654596614.818071
78185,0,0.0,0.0,0.0,0,1654596614.826416
78186,0,0.0,0.0,0.0,0,1654596614.8347893
78187,0,0.0,0.0,0.0,0,1654596614.8430967
78188,0,0.0,0.0,0.0,0,1654596614.851467
78189,0,0.0,0.0,0.0,0,1654596614.859733
78190,0,0.0,0.0,0.0,0,1654596614.8680506
78191,0,0.0,0.0,0.0,0,1654596614.8763857
78192,0,0.0,0.0,0.0,0,1654596614.8847418
78193,0,0.0,0.0,0.0,0,1654596614.8929367
78194,0,0.0,0.0,0.0,0,1654596614.9013884
78195,0,0.0,0.0,0.0,0,1654596614.9097252
78196,0,0.0,0.0,0.0,0,1654596614.918082
78197,0,0.0,0.0,0.0,0,1654596614.9262586
78198,0,0.0,0.0,0.0,0,1654596614.934697
78199,0,0.0,0.0,0.0,0,1654596614.942954
78200,0,0.0,0.0,0.0,0,1654596614.9513855
78201,0,0.0,0.0,0.0,0,1654596614.9597251
78202,0,0.0,0.0,0.0,0,1654596614.968051
78203,0,0.0,0.0,0.0,0,1654596614.9763803
78204,0,0.0,0.0,0.0,0,1654596614.9847157
78205,0,0.0,0.0,0.0,0,1654596614.993011
78206,0,0.0,0.0,0.0,0,1654596615.001403
78207,0,0.0,0.0,0.0,0,1654596615.009767
78208,0,0.0,0.0,0.0,0,1654596615.0180776
78209,0,0.0,0.0,0.0,0,1654596615.0263753
78210,0,0.0,0.0,0.0,0,1654596615.0347297
78211,0,0.0,0.0,0.0,0,1654596615.0430722
78212,0,0.0,0.0,0.0,0,1654596615.051396
78213,0,0.0,0.0,0.0,0,1654596615.05967
78214,0,0.0,0.0,0.0,0,1654596615.0680475
78215,0,0.0,0.0,0.0,0,1654596615.0763907
78216,0,0.0,0.0,0.0,0,1654596615.0847173
78217,0,0.0,0.0,0.0,0,1654596615.092975
78218,0,0.0,0.0,0.0,0,1654596615.1012857
78219,0,0.0,0.0,0.0,0,1654596615.1096935
78220,0,0.0,0.0,0.0,0,1654596615.1180575
78221,0,0.0,0.0,0.0,0,1654596615.1263125
78222,0,0.0,0.0,0.0,0,1654596615.134738
78223,0,0.0,0.0,0.0,0,1654596615.14305
78224,0,0.0,0.0,0.0,0,1654596615.1513665
78225,0,0.0,0.0,0.0,0,1654596615.15969
78226,0,0.0,0.0,0.0,0,1654596615.1680608
78227,0,0.0,0.0,0.0,0,1654596615.1764228
78228,0,0.0,0.0,0.0,0,1654596615.1847022
78229,0,0.0,0.0,0.0,0,1654596615.193037
78230,0,0.0,0.0,0.0,0,1654596615.2013755
78231,0,0.0,0.0,0.0,0,1654596615.2096958
78232,0,0.0,0.0,0.0,0,1654596615.2180157
78233,0,0.0,0.0,0.0,0,1654596615.2263713
78234,0,0.0,0.0,0.0,0,1654596615.23471
78235,0,0.0,0.0,0.0,0,1654596615.243011
78236,0,0.0,0.0,0.0,0,1654596615.2514107
78237,0,0.0,0.0,0.0,0,1654596615.259703
78238,0,0.0,0.0,0.0,0,1654596615.2680266
78239,0,0.0,0.0,0.0,0,1654596615.27638
78240,0,0.0,0.0,0.0,0,1654596615.2846775
78241,0,0.0,0.0,0.0,0,1654596615.2930062
78242,0,0.0,0.0,0.0,0,1654596615.3013942
78243,0,0.0,0.0,0.0,0,1654596615.30962
78244,0,0.0,0.0,0.0,0,1654596615.3180523
78245,0,0.0,0.0,0.0,0,1654596615.3263538
78246,0,0.0,0.0,0.0,0,1654596615.3346903
78247,0,0.0,0.0,0.0,0,1654596615.342999
78248,0,0.0,0.0,0.0,0,1654596615.3513565
78249,0,0.0,0.0,0.0,0,1654596615.359684
78250,0,0.0,0.0,0.0,0,1654596615.3679895
78251,0,0.0,0.0,0.0,0,1654596615.376304
78252,0,0.0,0.0,0.0,0,1654596615.3846543
78253,0,0.0,0.0,0.0,0,1654596615.3930302
78254,0,0.0,0.0,0.0,0,1654596615.4013305
78255,0,0.0,0.0,0.0,0,1654596615.4096797
78256,0,0.0,0.0,0.0,0,1654596615.4179971
78257,0,0.0,0.0,0.0,0,1654596615.4263391
78258,0,0.0,0.0,0.0,0,1654596615.4346762
78259,0,0.0,0.0,0.0,0,1654596615.4430194
78260,0,0.0,0.0,0.0,0,1654596615.451337
78261,0,0.0,0.0,0.0,0,1654596615.459658
78262,0,0.0,0.0,0.0,0,1654596615.4679496
78263,0,0.0,0.0,0.0,0,1654596615.4763696
78264,0,0.0,0.0,0.0,0,1654596615.484666
78265,0,0.0,0.0,0.0,0,1654596615.492995
78266,0,0.0,0.0,0.0,0,1654596615.5013187
78267,0,0.0,0.0,0.0,0,1654596615.5096912
78268,0,0.0,0.0,0.0,0,1654596615.5179772
