Frame,Visibility,X,Y,Z,Event,Timestamp
78158,0,0.0,0.0,0.0,0,1654596614.6178854
78159,0,0.0,0.0,0.0,0,1654596614.626289
78160,0,0.0,0.0,0.0,0,1654596614.634591
78161,0,0.0,0.0,0.0,0,1654596614.6429465
78162,0,0.0,0.0,0.0,0,1654596614.6512833
78163,0,0.0,0.0,0.0,0,1654596614.6596584
78164,0,0.0,0.0,0.0,0,1654596614.6679869
78165,0,0.0,0.0,0.0,0,1654596614.6763036
78166,0,0.0,0.0,0.0,0,1654596614.6846263
78167,0,0.0,0.0,0.0,0,1654596614.69295
78168,0,0.0,0.0,0.0,0,1654596614.701278
78169,0,0.0,0.0,0.0,0,1654596614.7096157
78170,0,0.0,0.0,0.0,0,1654596614.7179458
78171,0,0.0,0.0,0.0,0,1654596614.726285
78172,0,0.0,0.0,0.0,0,1654596614.7345312
78173,0,0.0,0.0,0.0,0,1654596614.7428606
78174,0,0.0,0.0,0.0,0,1654596614.751188
78175,0,0.0,0.0,0.0,0,1654596614.7595408
78176,0,0.0,0.0,0.0,0,1654596614.7678757
78177,0,0.0,0.0,0.0,0,1654596614.776211
78178,0,0.0,0.0,0.0,0,1654596614.7845206
78179,0,0.0,0.0,0.0,0,1654596614.7928536
78180,0,0.0,0.0,0.0,0,1654596614.8011994
78181,0,0.0,0.0,0.0,0,1654596614.8095288
78182,0,0.0,0.0,0.0,0,1654596614.81786
78183,0,0.0,0.0,0.0,0,1654596614.8261962
78184,0,0.0,0.0,0.0,0,1654596614.8345432
78185,0,0.0,0.0,0.0,0,1654596614.842872
78186,0,0.0,0.0,0.0,0,1654596614.8513572
78187,0,0.0,0.0,0.0,0,1654596614.8595788
78188,0,0.0,0.0,0.0,0,1654596614.8679092
78189,0,0.0,0.0,0.0,0,1654596614.876241
78190,0,0.0,0.0,0.0,0,1654596614.8845818
78191,0,0.0,0.0,0.0,0,1654596614.8929358
78192,0,0.0,0.0,0.0,0,1654596614.901251
78193,0,0.0,0.0,0.0,0,1654596614.909565
78194,0,0.0,0.0,0.0,0,1654596614.9179063
78195,0,0.0,0.0,0.0,0,1654596614.9262764
78196,0,0.0,0.0,0.0,0,1654596614.9346323
78197,0,0.0,0.0,0.0,0,1654596614.9429462
78198,0,0.0,0.0,0.0,0,1654596614.951228
78199,0,0.0,0.0,0.0,0,1654596614.9595852
78200,0,0.0,0.0,0.0,0,1654596614.9679172
78201,0,0.0,0.0,0.0,0,1654596614.9762385
78202,0,0.0,0.0,0.0,0,1654596614.9845824
78203,0,0.0,0.0,0.0,0,1654596614.9929368
78204,0,0.0,0.0,0.0,0,1654596615.0012758
78205,0,0.0,0.0,0.0,0,1654596615.009621
78206,0,0.0,0.0,0.0,0,1654596615.0179434
78207,0,0.0,0.0,0.0,0,1654596615.02626
78208,0,0.0,0.0,0.0,0,1654596615.0346088
78209,0,0.0,0.0,0.0,0,1654596615.042838
78210,0,0.0,0.0,0.0,0,1654596615.0511813
78211,0,0.0,0.0,0.0,0,1654596615.0594976
78212,0,0.0,0.0,0.0,0,1654596615.0678432
