Frame,Visibility,X,Y,Z,Event,Timestamp
0,1,996.0,393.0,0.0,0,1654596614.6178854
1,1,993.0,379.0,0.0,0,1654596614.626289
2,1,990.0,367.0,0.0,0,1654596614.634591
3,1,987.0,354.0,0.0,0,1654596614.6429465
4,1,984.0,341.0,0.0,0,1654596614.6512833
5,1,980.0,330.0,0.0,0,1654596614.6596584
6,1,978.0,316.0,0.0,0,1654596614.6679869
7,1,974.0,306.0,0.0,0,1654596614.6763036
8,1,972.0,295.0,0.0,0,1654596614.6846263
9,1,969.0,283.0,0.0,0,1654596614.69295
10,1,966.0,272.0,0.0,0,1654596614.701278
11,1,962.0,262.0,0.0,0,1654596614.7096157
12,1,960.0,252.0,0.0,0,1654596614.7179458
13,1,957.0,241.0,0.0,0,1654596614.726285
14,1,955.0,231.0,0.0,0,1654596614.7345312
15,1,952.0,221.0,0.0,0,1654596614.7428606
16,1,950.0,211.0,0.0,0,1654596614.751188
17,1,948.0,203.0,0.0,0,1654596614.7595408
18,1,945.0,192.0,0.0,0,1654596614.7678757
19,1,942.0,184.0,0.0,0,1654596614.776211
20,1,940.0,176.0,0.0,0,1654596614.7845206
21,1,937.0,167.0,0.0,0,1654596614.7928536
22,1,934.0,158.0,0.0,0,1654596614.8011994
23,1,931.0,151.0,0.0,0,1654596614.8095288
24,1,928.0,142.0,0.0,0,1654596614.81786
25,1,926.0,135.0,0.0,0,1654596614.8261962
26,1,923.0,128.0,0.0,0,1654596614.8345432
27,1,920.0,120.0,0.0,0,1654596614.842872
28,1,917.0,113.0,0.0,0,1654596614.8513572
29,1,914.0,106.0,0.0,0,1654596614.8595788
30,1,911.0,100.0,0.0,0,1654596614.8679092
31,1,908.0,93.0,0.0,0,1654596614.876241
32,1,905.0,87.0,0.0,0,1654596614.8845818
33,1,902.0,80.0,0.0,0,1654596614.8929358
34,1,899.0,74.0,0.0,0,1654596614.901251
35,1,896.0,69.0,0.0,0,1654596614.909565
36,1,893.0,63.0,0.0,0,1654596614.9179063
37,1,889.0,58.0,0.0,0,1654596614.9262764
38,1,886.0,52.0,0.0,0,1654596614.9346323
39,1,884.0,47.0,0.0,0,1654596614.9429462
40,1,880.0,43.0,0.0,0,1654596614.951228
41,1,877.0,39.0,0.0,0,1654596614.9595852
42,1,875.0,35.0,0.0,0,1654596614.9679172
43,1,871.0,30.0,0.0,0,1654596614.9762385
44,1,868.0,26.0,0.0,0,1654596614.9845824
45,1,865.0,23.0,0.0,0,1654596614.9929368
46,1,862.0,19.0,0.0,0,1654596615.0012758
47,1,859.0,16.0,0.0,0,1654596615.009621
48,1,856.0,12.0,0.0,0,1654596615.0179434
49,1,853.0,10.0,0.0,0,1654596615.02626
50,1,850.0,7.0,0.0,0,1654596615.0346088
51,1,847.0,5.0,0.0,0,1654596615.042838
52,1,844.0,1.0,0.0,0,1654596615.0511813
53,1,840.0,0.0,0.0,0,1654596615.0594976
54,1,837.0,0.0,0.0,0,1654596615.0678432
55,0,0.0,0.0,0.0,0,1654596615.0761645
56,0,0.0,0.0,0.0,0,1654596615.084494
57,0,0.0,0.0,0.0,0,1654596615.092824
58,0,0.0,0.0,0.0,0,1654596615.1011667
59,0,0.0,0.0,0.0,0,1654596615.1095035
60,0,0.0,0.0,0.0,0,1654596615.1178243
61,0,0.0,0.0,0.0,0,1654596615.1261656
62,0,0.0,0.0,0.0,0,1654596615.1345038
63,0,0.0,0.0,0.0,0,1654596615.142831
64,0,0.0,0.0,0.0,0,1654596615.1511629
65,0,0.0,0.0,0.0,0,1654596615.1594985
66,0,0.0,0.0,0.0,0,1654596615.1679213
67,0,0.0,0.0,0.0,0,1654596615.1762316
68,0,0.0,0.0,0.0,0,1654596615.1845603
69,0,0.0,0.0,0.0,0,1654596615.1928463
70,0,0.0,0.0,0.0,0,1654596615.2011542
71,0,0.0,0.0,0.0,0,1654596615.2094946
72,0,0.0,0.0,0.0,0,1654596615.21782
