Frame,Visibility,X,Y,Z,Event,Timestamp
613,1,0.446181946,0.3822963869999999,1.4137542719999998,0,0.0
614,1,0.4384436949999999,0.3707930299999999,1.425968018,0,0.0033333333333333
615,1,0.434753479,0.363310516,1.441754883,0,0.0066666666666666
616,1,0.43180835,0.3564794309999999,1.457666748,0,0.01
617,1,0.42839801,0.348727386,1.4730004879999998,0,0.0133333333333333
618,1,0.425732788,0.341626801,1.4884589840000002,0,0.0166666666666666
619,1,0.423095398,0.334844879,1.503665771,0,0.02
620,1,0.419504211,0.327995728,1.518623779,0,0.0233333333333333
621,1,0.4162349239999999,0.320900055,1.533523926,0,0.0266666666666666
622,1,0.416590698,0.31485733,1.54981897,0,0.03
623,1,0.4106922,0.3066944889999999,1.56323877,0,0.0333333333333333
624,1,0.407096191,0.2998687739999999,1.577466919,0,0.0366666666666666
625,1,0.405051483,0.2932259829999999,1.59226123,0,0.04
626,1,0.402542114,0.286716248,1.606572144,0,0.0433333333333333
627,1,0.398186127,0.2790791019999999,1.6200101320000002,0,0.0466666666666666
628,1,0.394469116,0.272248718,1.633626099,0,0.05
629,1,0.391547821,0.265153259,1.647209595,0,0.0533333333333333
630,1,0.391610443,0.259030579,1.661570679,0,0.0566666666666666
631,1,0.386414734,0.25186026,1.674692261,0,0.06
632,1,0.3830942989999999,0.244964569,1.688050049,0,0.0633333333333333
633,1,0.379757263,0.237922348,1.70108374,0,0.0666666666666666
634,1,0.379092468,0.23114473,1.715062744,0,0.07
635,1,0.373268677,0.223784332,1.726183594,0,0.0733333333333333
636,1,0.370440582,0.217368088,1.739696289,0,0.0766666666666666
637,1,0.367171509,0.210095978,1.752069092,0,0.08
638,1,0.3638569949999999,0.203047653,1.764447998,0,0.0833333333333333
639,1,0.360821625,0.1960737609999999,1.776615112,0,0.0866666666666666
640,1,0.357819427,0.189047791,1.788602295,0,0.09
641,1,0.354554352,0.182332001,1.800719727,0,0.0933333333333333
642,1,0.350949402,0.175433014,1.81242041,0,0.0966666666666666
643,1,0.347914093,0.168491974,1.824147949,0,0.1
644,1,0.344956268,0.161647263,1.835723633,0,0.1033333333333333
645,1,0.342386627,0.154596039,1.847082764,0,0.1066666666666666
646,1,0.3394758,0.147780029,1.858310913,0,0.11
647,1,0.335921417,0.141022568,1.869566162,0,0.1133333333333333
648,1,0.334347839,0.134014786,1.880272461,0,0.1166666666666666
649,1,0.3318043519999999,0.127024261,1.891307007,0,0.12
650,1,0.328525024,0.120037254,1.901905396,0,0.1233333333333333
651,1,0.325395294,0.113287659,1.911547852,0,0.1266666666666666
652,1,0.321992767,0.106409119,1.921946899,0,0.13
653,1,0.318823822,0.09958709,1.931918091,0,0.1333333333333333
654,1,0.314055725,0.093484787,1.944640259,0,0.1366666666666666
655,1,0.311305023,0.085877647,1.952635864,0,0.14
656,1,0.306865906,0.078916222,1.963578003,0,0.1433333333333333
657,1,0.306402374,0.071892418,1.970739258,0,0.1466666666666666
658,1,0.298467682,0.066154732,1.982089966,0,0.15
659,1,0.30073468,0.0580039409999999,1.989939453,0,0.1533333333333333
660,1,0.293413055,0.0535684929999999,2.002778564,0,0.1566666666666666
661,1,0.29444751,0.04428791,2.0084998780000003,0,0.16
662,1,0.291474792,0.037468655,2.017653198,0,0.1633333333333333
663,1,0.286375854,0.031413834,2.027286499,0,0.1666666666666666
664,1,0.283154785,0.024710142,2.036124023,0,0.17
665,1,0.274377197,0.0214307,2.045845703,0,0.1733333333333333
666,1,0.2801678769999999,0.009939304,2.0514448240000003,0,0.1766666666666666
667,1,0.27361026,0.003474222,2.062350098,0,0.18
668,1,0.26998349,-0.002775399,2.070290771,0,0.1833333333333333
669,1,0.266466522,-0.008749063,2.078579346,0,0.1866666666666666
670,1,0.262381714,-0.012877005,2.086985107,0,0.19
671,1,0.2596954959999999,-0.020879866,2.096000977,0,0.1933333333333333
672,1,0.259720581,-0.030464516,2.101594238,0,0.1966666666666666
673,1,0.256619568,-0.036868828,2.109334229,0,0.2
674,1,0.253309998,-0.043288361,2.116994385,0,0.2033333333333333
675,1,0.254012756,-0.0553232039999999,2.122061768,0,0.2066666666666666
676,1,0.245438141,-0.053628284,2.132899902,0,0.21
677,1,0.241896667,-0.059969597,2.141011719,0,0.2133333333333333
678,1,0.24258754,-0.0705333559999999,2.145975586,0,0.2166666666666666
679,1,0.239787766,-0.0768734819999999,2.15308252,0,0.22
680,1,0.236802353,-0.083140121,2.16008252,0,0.2233333333333333
681,1,0.23522551,-0.0912874759999999,2.166807861,0,0.2266666666666666
682,1,0.2325157169999999,-0.097652061,2.173443115,0,0.23
683,1,0.230119064,-0.104536911,2.1800271,0,0.2333333333333333
684,1,0.22787822,-0.111775406,2.186188232,0,0.2366666666666666
685,1,0.225133621,-0.118552139,2.192428467,0,0.24
686,1,0.225458847,-0.129729401,2.1962854000000003,0,0.2433333333333333
687,1,0.223117386,-0.136211853,2.20258252,0,0.2466666666666666
688,1,0.220744461,-0.142567963,2.208857422,0,0.25
689,0,0.0,0.0,0.0,0,0.2533333333333333
690,0,0.0,0.0,0.0,0,0.2566666666666666
