Frame,Visibility,X,Y,Z,Event,Timestamp
0,1,644.0,258.0,0.0,0,0.0
1,1,644.0,253.0,0.0,0,0.016666666666666666
2,1,641.0,246.0,0.0,0,0.03333333333333333
3,1,640.0,240.0,0.0,0,0.05
4,1,638.0,235.0,0.0,0,0.06666666666666667
5,1,636.0,232.0,0.0,0,0.08333333333333333
6,1,634.0,228.0,0.0,0,0.1
7,1,633.0,222.0,0.0,0,0.11666666666666667
8,1,633.0,219.0,0.0,0,0.13333333333333333
9,1,632.0,217.0,0.0,0,0.15
10,1,630.0,216.0,0.0,0,0.16666666666666666
11,1,628.0,212.0,0.0,0,0.18333333333333332
12,1,627.0,212.0,0.0,0,0.2
13,1,626.0,211.0,0.0,0,0.21666666666666667
14,1,625.0,211.0,0.0,0,0.23333333333333334
15,1,625.0,212.0,0.0,0,0.25
16,1,624.0,213.0,0.0,0,0.26666666666666666
17,1,623.0,215.0,0.0,0,0.2833333333333333
18,1,621.0,216.0,0.0,0,0.3
19,1,620.0,215.0,0.0,0,0.31666666666666665
20,1,619.0,219.0,0.0,0,0.3333333333333333
21,1,619.0,223.0,0.0,0,0.35
22,1,618.0,225.0,0.0,0,0.36666666666666664
23,1,616.0,228.0,0.0,0,0.38333333333333336
24,1,617.0,234.0,0.0,0,0.4
25,1,615.0,237.0,0.0,0,0.4166666666666667
26,1,615.0,244.0,0.0,0,0.43333333333333335
27,1,614.0,251.0,0.0,0,0.45
28,1,614.0,257.0,0.0,0,0.4666666666666667
29,1,614.0,268.0,0.0,0,0.48333333333333334
30,1,612.0,275.0,0.0,0,0.5
31,1,611.0,287.0,0.0,0,0.5166666666666667
32,1,609.0,294.0,0.0,0,0.5333333333333333
33,1,609.0,303.0,0.0,0,0.55
34,1,610.0,314.0,0.0,0,0.5666666666666667
35,1,610.0,326.0,0.0,0,0.5833333333333334
36,1,608.0,339.0,0.0,0,0.6
37,1,607.0,351.0,0.0,0,0.6166666666666667
38,1,608.0,368.0,0.0,0,0.6333333333333333
39,1,608.0,380.0,0.0,0,0.65
40,1,607.0,396.0,0.0,0,0.6666666666666666
41,1,606.0,412.0,0.0,0,0.6833333333333333
42,1,607.0,428.0,0.0,0,0.7
43,1,607.0,445.0,0.0,0,0.7166666666666667
44,1,606.0,462.0,0.0,0,0.7333333333333333
45,1,606.0,482.0,0.0,0,0.75
46,1,605.0,501.0,0.0,0,0.7666666666666667
47,1,607.0,519.0,0.0,0,0.7833333333333333
48,1,607.0,543.0,0.0,0,0.8
49,1,607.0,560.0,0.0,0,0.8166666666666667
50,1,608.0,584.0,0.0,0,0.8333333333333334
51,1,608.0,606.0,0.0,0,0.85
52,1,609.0,627.0,0.0,0,0.8666666666666667
53,1,609.0,654.0,0.0,0,0.8833333333333333
54,1,610.0,677.0,0.0,0,0.9
55,1,610.0,703.0,0.0,0,0.9166666666666666
56,1,611.0,728.0,0.0,0,0.9333333333333333
57,1,612.0,752.0,0.0,0,0.95
58,1,612.0,776.0,0.0,0,0.9666666666666667
59,1,614.0,804.0,0.0,0,0.9833333333333333
60,1,615.0,829.0,0.0,0,1.0
61,1,615.0,857.0,0.0,0,1.0166666666666666
62,1,616.0,881.0,0.0,0,1.0333333333333334
63,1,618.0,914.0,0.0,0,1.05
64,1,620.0,938.0,0.0,0,1.0666666666666667
