Frame,Visibility,X,Y,Z,Event,Timestamp
68792,0,0.0,0.0,0.0,0,1653368271.7836535
68793,0,0.0,0.0,0.0,0,1653368271.791953
68794,0,0.0,0.0,0.0,0,1653368271.8003037
68795,0,0.0,0.0,0.0,0,1653368271.8085506
68796,0,0.0,0.0,0.0,0,1653368271.816871
68797,0,0.0,0.0,0.0,0,1653368271.82521
68798,0,0.0,0.0,0.0,0,1653368271.8336067
68799,0,0.0,0.0,0.0,0,1653368271.842005
68800,0,0.0,0.0,0.0,0,1653368271.8502846
68801,0,0.0,0.0,0.0,0,1653368271.8586106
68802,0,0.0,0.0,0.0,0,1653368271.8669443
68803,0,0.0,0.0,0.0,0,1653368271.8752751
68804,0,0.0,0.0,0.0,0,1653368271.883593
68805,0,0.0,0.0,0.0,0,1653368271.8919733
68806,0,0.0,0.0,0.0,0,1653368271.9002209
68807,0,0.0,0.0,0.0,0,1653368271.9085505
68808,0,0.0,0.0,0.0,0,1653368271.916879
68809,0,0.0,0.0,0.0,0,1653368271.925202
68810,0,0.0,0.0,0.0,0,1653368271.9336226
68811,0,0.0,0.0,0.0,0,1653368271.9419377
68812,0,0.0,0.0,0.0,0,1653368271.9501932
68813,0,0.0,0.0,0.0,0,1653368271.958516
68814,0,0.0,0.0,0.0,0,1653368271.9669237
68815,0,0.0,0.0,0.0,0,1653368271.9752586
68816,0,0.0,0.0,0.0,0,1653368271.9835873
68817,0,0.0,0.0,0.0,0,1653368271.991948
68818,0,0.0,0.0,0.0,0,1653368272.0002546
68819,0,0.0,0.0,0.0,0,1653368272.0085857
68820,0,0.0,0.0,0.0,0,1653368272.0169406
68821,0,0.0,0.0,0.0,0,1653368272.025232
68822,0,0.0,0.0,0.0,0,1653368272.0336273
68823,0,0.0,0.0,0.0,0,1653368272.0419438
68824,0,0.0,0.0,0.0,0,1653368272.050279
68825,0,0.0,0.0,0.0,0,1653368272.0586023
68826,0,0.0,0.0,0.0,0,1653368272.0669255
68827,0,0.0,0.0,0.0,0,1653368272.075277
68828,0,0.0,0.0,0.0,0,1653368272.0835922
68829,0,0.0,0.0,0.0,0,1653368272.091914
68830,0,0.0,0.0,0.0,0,1653368272.1002777
68831,0,0.0,0.0,0.0,0,1653368272.1085927
68832,0,0.0,0.0,0.0,0,1653368272.1169636
68833,0,0.0,0.0,0.0,0,1653368272.1252632
68834,0,0.0,0.0,0.0,0,1653368272.1335804
68835,0,0.0,0.0,0.0,0,1653368272.14192
68836,0,0.0,0.0,0.0,0,1653368272.1502647
68837,0,0.0,0.0,0.0,0,1653368272.1586266
68838,0,0.0,0.0,0.0,0,1653368272.166921
