Frame,Visibility,X,Y,Z,Event,Timestamp
0,1,1182.0,426.0,0.0,0,1653369770.8781006
1,1,1174.0,419.0,0.0,0,1653369770.886478
2,1,1165.0,412.0,0.0,0,1653369770.894804
3,1,1157.0,402.0,0.0,0,1653369770.9031425
4,1,1149.0,396.0,0.0,0,1653369770.9114668
5,1,1141.0,388.0,0.0,0,1653369770.9197965
6,1,1132.0,382.0,0.0,0,1653369770.9281714
7,1,1124.0,374.0,0.0,0,1653369770.9364643
8,1,1116.0,369.0,0.0,0,1653369770.9448
9,1,1108.0,362.0,0.0,0,1653369770.9531286
10,1,1100.0,357.0,0.0,0,1653369770.961464
11,1,1092.0,350.0,0.0,0,1653369770.9697733
12,1,1085.0,346.0,0.0,0,1653369770.9781396
13,1,1077.0,339.0,0.0,0,1653369770.9864748
14,1,1070.0,335.0,0.0,0,1653369770.994822
15,1,1063.0,330.0,0.0,0,1653369771.0031304
16,1,1056.0,325.0,0.0,0,1653369771.011474
17,1,1048.0,320.0,0.0,0,1653369771.0197928
18,1,1043.0,316.0,0.0,0,1653369771.028092
19,1,1035.0,311.0,0.0,0,1653369771.0364509
20,1,1029.0,306.0,0.0,0,1653369771.0448327
21,1,1023.0,303.0,0.0,0,1653369771.053122
22,1,1016.0,300.0,0.0,0,1653369771.0614383
23,1,1011.0,297.0,0.0,0,1653369771.0698133
24,1,1004.0,293.0,0.0,0,1653369771.0781004
25,1,999.0,289.0,0.0,0,1653369771.086512
26,1,990.0,283.0,0.0,0,1653369771.0947218
27,1,984.0,280.0,0.0,0,1653369771.1030626
28,1,976.0,276.0,0.0,0,1653369771.111436
29,1,972.0,273.0,0.0,0,1653369771.1197624
30,1,966.0,269.0,0.0,0,1653369771.1281006
31,1,960.0,267.0,0.0,0,1653369771.13641
32,1,953.0,264.0,0.0,0,1653369771.1447892
33,1,947.0,261.0,0.0,0,1653369771.1530786
34,1,942.0,259.0,0.0,0,1653369771.1614313
35,1,936.0,257.0,0.0,0,1653369771.169785
36,1,932.0,255.0,0.0,0,1653369771.1780088
37,1,928.0,253.0,0.0,0,1653369771.18644
38,1,924.0,250.0,0.0,0,1653369771.1947734
39,1,918.0,248.0,0.0,0,1653369771.20303
40,1,912.0,246.0,0.0,0,1653369771.2113786
41,1,906.0,244.0,0.0,0,1653369771.2197144
42,1,900.0,243.0,0.0,0,1653369771.22804
43,1,895.0,240.0,0.0,0,1653369771.2363586
44,1,891.0,239.0,0.0,0,1653369771.244703
45,1,885.0,237.0,0.0,0,1653369771.2530234
46,1,880.0,236.0,0.0,0,1653369771.2613516
47,1,875.0,234.0,0.0,0,1653369771.269652
48,1,870.0,232.0,0.0,0,1653369771.277983
49,1,865.0,231.0,0.0,0,1653369771.2863336
50,1,859.0,230.0,0.0,0,1653369771.2946918
51,1,854.0,228.0,0.0,0,1653369771.3030298
52,1,850.0,229.0,0.0,0,1653369771.3113625
53,1,845.0,226.0,0.0,0,1653369771.3196971
54,1,840.0,226.0,0.0,0,1653369771.32801
55,1,837.0,225.0,0.0,0,1653369771.3363688
56,1,831.0,224.0,0.0,0,1653369771.3447082
57,1,827.0,224.0,0.0,0,1653369771.353043
58,1,823.0,224.0,0.0,0,1653369771.3613632
59,1,817.0,224.0,0.0,0,1653369771.3696775
60,1,814.0,223.0,0.0,0,1653369771.3779702
61,1,810.0,222.0,0.0,0,1653369771.3862991
62,1,805.0,223.0,0.0,0,1653369771.394682
63,1,799.0,222.0,0.0,0,1653369771.403009
64,1,796.0,222.0,0.0,0,1653369771.4113493
65,1,793.0,223.0,0.0,0,1653369771.4196756
66,1,788.0,223.0,0.0,0,1653369771.4280047
67,1,784.0,224.0,0.0,0,1653369771.4363425
68,1,780.0,224.0,0.0,0,1653369771.4446297
69,1,775.0,223.0,0.0,0,1653369771.4530103
70,1,772.0,223.0,0.0,0,1653369771.4613535
71,1,768.0,225.0,0.0,0,1653369771.469665
72,1,763.0,224.0,0.0,0,1653369771.4779952
73,1,759.0,225.0,0.0,0,1653369771.4863155
74,1,755.0,226.0,0.0,0,1653369771.4946709
75,1,751.0,225.0,0.0,0,1653369771.5029535
76,1,747.0,228.0,0.0,0,1653369771.5113318
77,1,743.0,228.0,0.0,0,1653369771.519669
78,1,739.0,229.0,0.0,0,1653369771.5280168
79,1,736.0,229.0,0.0,0,1653369771.536345
80,1,732.0,230.0,0.0,0,1653369771.5446668
81,1,727.0,232.0,0.0,0,1653369771.5530107
82,1,723.0,233.0,0.0,0,1653369771.5613594
83,1,720.0,233.0,0.0,0,1653369771.5696816
84,1,717.0,235.0,0.0,0,1653369771.578009
85,1,713.0,236.0,0.0,0,1653369771.586287
86,1,710.0,239.0,0.0,0,1653369771.594663
87,1,705.0,240.0,0.0,0,1653369771.603017
88,1,702.0,240.0,0.0,0,1653369771.6113324
89,1,698.0,243.0,0.0,0,1653369771.6196775
90,1,695.0,244.0,0.0,0,1653369771.6280043
91,1,691.0,246.0,0.0,0,1653369771.6363282
92,1,688.0,247.0,0.0,0,1653369771.6446571
93,1,685.0,250.0,0.0,0,1653369771.6530044
94,1,681.0,252.0,0.0,0,1653369771.6613214
95,1,678.0,254.0,0.0,0,1653369771.669629
96,1,675.0,257.0,0.0,0,1653369771.6780033
