Frame,Visibility,X,Y,Z,Event,Timestamp
68039,0,0.0,0.0,0.0,0,1655354652.4238636
68040,0,0.0,0.0,0.0,0,1655354652.4322102
68041,0,0.0,0.0,0.0,0,1655354652.4405518
68042,0,0.0,0.0,0.0,0,1655354652.4488685
68043,0,0.0,0.0,0.0,0,1655354652.4571908
68044,0,0.0,0.0,0.0,0,1655354652.465539
68045,0,0.0,0.0,0.0,0,1655354652.4738617
68046,0,0.0,0.0,0.0,0,1655354652.4822114
68047,0,0.0,0.0,0.0,0,1655354652.4905863
68048,0,0.0,0.0,0.0,0,1655354652.4988737
68049,0,0.0,0.0,0.0,0,1655354652.5072432
68050,0,0.0,0.0,0.0,0,1655354652.5156147
68051,0,0.0,0.0,0.0,0,1655354652.5238526
68052,0,0.0,0.0,0.0,0,1655354652.5321963
68053,0,0.0,0.0,0.0,0,1655354652.540594
68054,0,0.0,0.0,0.0,0,1655354652.5489042
68055,0,0.0,0.0,0.0,0,1655354652.557256
68056,0,0.0,0.0,0.0,0,1655354652.5655985
68057,0,0.0,0.0,0.0,0,1655354652.5739243
68058,0,0.0,0.0,0.0,0,1655354652.5822427
68059,0,0.0,0.0,0.0,0,1655354652.5905812
68060,0,0.0,0.0,0.0,0,1655354652.598921
68061,0,0.0,0.0,0.0,0,1655354652.6072614
68062,0,0.0,0.0,0.0,0,1655354652.6156154
68063,0,0.0,0.0,0.0,0,1655354652.623923
68064,0,0.0,0.0,0.0,0,1655354652.6322346
68065,0,0.0,0.0,0.0,0,1655354652.6405723
68066,0,0.0,0.0,0.0,0,1655354652.6489203
68067,0,0.0,0.0,0.0,0,1655354652.6572683
68068,0,0.0,0.0,0.0,0,1655354652.6655676
68069,0,0.0,0.0,0.0,0,1655354652.6739092
68070,0,0.0,0.0,0.0,0,1655354652.6822436
68071,0,0.0,0.0,0.0,0,1655354652.6905737
68072,0,0.0,0.0,0.0,0,1655354652.6989095
68073,0,0.0,0.0,0.0,0,1655354652.7072234
68074,0,0.0,0.0,0.0,0,1655354652.7155788
68075,0,0.0,0.0,0.0,0,1655354652.7239013
68076,0,0.0,0.0,0.0,0,1655354652.7322297
68077,0,0.0,0.0,0.0,0,1655354652.7405746
68078,0,0.0,0.0,0.0,0,1655354652.7488844
68079,0,0.0,0.0,0.0,0,1655354652.757234
68080,0,0.0,0.0,0.0,0,1655354652.7655609
68081,0,0.0,0.0,0.0,0,1655354652.773907
68082,0,0.0,0.0,0.0,0,1655354652.7822394
68083,0,0.0,0.0,0.0,0,1655354652.7905617
68084,0,0.0,0.0,0.0,0,1655354652.7989137
68085,0,0.0,0.0,0.0,0,1655354652.807264
68086,0,0.0,0.0,0.0,0,1655354652.8155866
68087,0,0.0,0.0,0.0,0,1655354652.82389
68088,0,0.0,0.0,0.0,0,1655354652.8322296
68089,0,0.0,0.0,0.0,0,1655354652.8405516
68090,0,0.0,0.0,0.0,0,1655354652.848902
68091,0,0.0,0.0,0.0,0,1655354652.8572416
68092,0,0.0,0.0,0.0,0,1655354652.8655496
68093,0,0.0,0.0,0.0,0,1655354652.8738737
68094,0,0.0,0.0,0.0,0,1655354652.8822167
68095,0,0.0,0.0,0.0,0,1655354652.8905754
68096,0,0.0,0.0,0.0,0,1655354652.8989007
68097,0,0.0,0.0,0.0,0,1655354652.9072127
68098,0,0.0,0.0,0.0,0,1655354652.9155774
68099,0,0.0,0.0,0.0,0,1655354652.9239018
68100,0,0.0,0.0,0.0,0,1655354652.9322004
68101,0,0.0,0.0,0.0,0,1655354652.9405556
68102,0,0.0,0.0,0.0,0,1655354652.9488893
68103,0,0.0,0.0,0.0,0,1655354652.957208
68104,0,0.0,0.0,0.0,0,1655354652.965542
68105,0,0.0,0.0,0.0,0,1655354652.9738655
68106,0,0.0,0.0,0.0,0,1655354652.9822085
68107,0,0.0,0.0,0.0,0,1655354652.9905326
68108,0,0.0,0.0,0.0,0,1655354652.9988928
68109,0,0.0,0.0,0.0,0,1655354653.0072494
68110,0,0.0,0.0,0.0,0,1655354653.0155609
68111,0,0.0,0.0,0.0,0,1655354653.0238876
68112,0,0.0,0.0,0.0,0,1655354653.0322216
68113,0,0.0,0.0,0.0,0,1655354653.0405352
68114,0,0.0,0.0,0.0,0,1655354653.0488694
68115,0,0.0,0.0,0.0,0,1655354653.0572095
68116,0,0.0,0.0,0.0,0,1655354653.0655775
68117,0,0.0,0.0,0.0,0,1655354653.073872
68118,0,0.0,0.0,0.0,0,1655354653.082226
68119,0,0.0,0.0,0.0,0,1655354653.0905404
68120,0,0.0,0.0,0.0,0,1655354653.0988762
68121,0,0.0,0.0,0.0,0,1655354653.1072216
68122,0,0.0,0.0,0.0,0,1655354653.1155908
68123,0,0.0,0.0,0.0,0,1655354653.1238637
68124,0,0.0,0.0,0.0,0,1655354653.1322038
68125,0,0.0,0.0,0.0,0,1655354653.140551
68126,0,0.0,0.0,0.0,0,1655354653.1488602
68127,0,0.0,0.0,0.0,0,1655354653.1572208
68128,0,0.0,0.0,0.0,0,1655354653.1655362
68129,0,0.0,0.0,0.0,0,1655354653.1738524
68130,0,0.0,0.0,0.0,0,1655354653.182196
68131,0,0.0,0.0,0.0,0,1655354653.1905446
68132,0,0.0,0.0,0.0,0,1655354653.1988783
68133,0,0.0,0.0,0.0,0,1655354653.2071278
68134,0,0.0,0.0,0.0,0,1655354653.2154777
68135,0,0.0,0.0,0.0,0,1655354653.2238102
68136,0,0.0,0.0,0.0,0,1655354653.2321594
68137,0,0.0,0.0,0.0,0,1655354653.2404969
68138,0,0.0,0.0,0.0,0,1655354653.2488053
68139,0,0.0,0.0,0.0,0,1655354653.2571385
68140,0,0.0,0.0,0.0,0,1655354653.2655191
68141,0,0.0,0.0,0.0,0,1655354653.2738905
68142,0,0.0,0.0,0.0,0,1655354653.2821405
68143,0,0.0,0.0,0.0,0,1655354653.290485
68144,0,0.0,0.0,0.0,0,1655354653.2988632
68145,0,0.0,0.0,0.0,0,1655354653.307126
68146,0,0.0,0.0,0.0,0,1655354653.3155034
68147,0,0.0,0.0,0.0,0,1655354653.3238058
68148,0,0.0,0.0,0.0,0,1655354653.3321226
68149,0,0.0,0.0,0.0,0,1655354653.340454
68150,0,0.0,0.0,0.0,0,1655354653.348886
68151,0,0.0,0.0,0.0,0,1655354653.3572066
68152,0,0.0,0.0,0.0,0,1655354653.3655264
68153,0,0.0,0.0,0.0,0,1655354653.3738866
68154,0,0.0,0.0,0.0,0,1655354653.3821976
68155,0,0.0,0.0,0.0,0,1655354653.390529
68156,0,0.0,0.0,0.0,0,1655354653.3988545
68157,0,0.0,0.0,0.0,0,1655354653.407113
68158,0,0.0,0.0,0.0,0,1655354653.4155164
68159,0,0.0,0.0,0.0,0,1655354653.4238772
68160,0,0.0,0.0,0.0,0,1655354653.4322054
68161,0,0.0,0.0,0.0,0,1655354653.4405406
68162,0,0.0,0.0,0.0,0,1655354653.4488554
68163,0,0.0,0.0,0.0,0,1655354653.4572122
68164,0,0.0,0.0,0.0,0,1655354653.465533
68165,0,0.0,0.0,0.0,0,1655354653.4738364
68166,0,0.0,0.0,0.0,0,1655354653.4821944
68167,0,0.0,0.0,0.0,0,1655354653.4904945
68168,0,0.0,0.0,0.0,0,1655354653.498843
68169,0,0.0,0.0,0.0,0,1655354653.5071676
68170,0,0.0,0.0,0.0,0,1655354653.5154514
68171,0,0.0,0.0,0.0,0,1655354653.523836
