Frame,Visibility,X,Y,Z,Event,Timestamp
0,1,627.0,380.0,0.0,0,1654593326.9677112
1,1,629.0,378.0,0.0,0,1654593326.9759843
2,1,630.0,375.0,0.0,0,1654593326.9843729
3,1,631.0,372.0,0.0,0,1654593326.992638
4,1,632.0,371.0,0.0,0,1654593327.0009744
5,1,633.0,369.0,0.0,0,1654593327.00938
6,1,634.0,367.0,0.0,0,1654593327.0177214
7,1,634.0,366.0,0.0,0,1654593327.0260863
8,1,635.0,363.0,0.0,0,1654593327.0343645
9,1,636.0,363.0,0.0,0,1654593327.0427272
10,1,637.0,361.0,0.0,0,1654593327.05104
11,1,638.0,362.0,0.0,0,1654593327.059394
12,1,639.0,361.0,0.0,0,1654593327.0677228
13,1,640.0,360.0,0.0,0,1654593327.076031
14,1,639.0,360.0,0.0,0,1654593327.0844228
15,1,641.0,359.0,0.0,0,1654593327.092697
16,1,643.0,360.0,0.0,0,1654593327.101083
17,1,644.0,359.0,0.0,0,1654593327.1093504
18,1,645.0,360.0,0.0,0,1654593327.1177323
19,1,646.0,359.0,0.0,0,1654593327.126052
20,1,647.0,360.0,0.0,0,1654593327.134395
21,1,648.0,359.0,0.0,0,1654593327.142708
22,1,649.0,360.0,0.0,0,1654593327.1510456
23,1,650.0,360.0,0.0,0,1654593327.1593366
24,1,652.0,361.0,0.0,0,1654593327.1677144
25,1,653.0,361.0,0.0,0,1654593327.1760416
26,1,652.0,363.0,0.0,0,1654593327.184364
27,1,654.0,365.0,0.0,0,1654593327.1927214
28,1,655.0,367.0,0.0,0,1654593327.2010138
29,1,656.0,369.0,0.0,0,1654593327.2093904
30,1,657.0,371.0,0.0,0,1654593327.2176812
31,1,658.0,373.0,0.0,0,1654593327.2260814
32,1,659.0,375.0,0.0,0,1654593327.234388
33,1,661.0,378.0,0.0,0,1654593327.242705
34,1,662.0,381.0,0.0,0,1654593327.2510514
35,1,663.0,384.0,0.0,0,1654593327.25933
36,1,664.0,388.0,0.0,0,1654593327.2676678
37,1,665.0,391.0,0.0,0,1654593327.276026
38,1,666.0,395.0,0.0,0,1654593327.2844338
39,1,667.0,399.0,0.0,0,1654593327.292767
40,1,668.0,403.0,0.0,0,1654593327.3010929
41,1,669.0,407.0,0.0,0,1654593327.309383
42,1,671.0,411.0,0.0,0,1654593327.317693
43,1,672.0,416.0,0.0,0,1654593327.3260288
44,1,673.0,421.0,0.0,0,1654593327.3343863
45,1,674.0,426.0,0.0,0,1654593327.3426805
46,1,675.0,432.0,0.0,0,1654593327.3510978
47,1,677.0,437.0,0.0,0,1654593327.3593729
48,1,678.0,444.0,0.0,0,1654593327.367746
49,1,679.0,450.0,0.0,0,1654593327.37606
50,1,681.0,457.0,0.0,0,1654593327.3843515
51,1,682.0,464.0,0.0,0,1654593327.3926897
52,1,683.0,471.0,0.0,0,1654593327.4011023
53,1,684.0,478.0,0.0,0,1654593327.4094577
54,1,686.0,486.0,0.0,0,1654593327.4177463
55,1,687.0,493.0,0.0,0,1654593327.4260297
56,1,688.0,501.0,0.0,0,1654593327.434405
57,1,690.0,511.0,0.0,0,1654593327.442812
58,1,691.0,519.0,0.0,0,1654593327.451098
59,1,692.0,527.0,0.0,0,1654593327.4594016
60,1,693.0,537.0,0.0,0,1654593327.4677482
61,1,695.0,547.0,0.0,0,1654593327.476076
62,1,697.0,557.0,0.0,0,1654593327.4844472
63,1,699.0,566.0,0.0,0,1654593327.4927251
64,1,700.0,577.0,0.0,0,1654593327.5010574
65,1,701.0,588.0,0.0,0,1654593327.5093722
66,1,703.0,599.0,0.0,0,1654593327.5176947
67,1,704.0,610.0,0.0,0,1654593327.5260334
68,1,706.0,621.0,0.0,0,1654593327.5344086
69,1,707.0,635.0,0.0,0,1654593327.5427074
70,1,709.0,646.0,0.0,0,1654593327.5510724
71,1,710.0,660.0,0.0,0,1654593327.559394
72,1,711.0,671.0,0.0,0,1654593327.5677435
73,1,713.0,684.0,0.0,0,1654593327.576075
74,1,716.0,697.0,0.0,0,1654593327.5843756
75,1,717.0,711.0,0.0,0,1654593327.5927317
76,1,718.0,723.0,0.0,0,1654593327.6010463
77,1,720.0,739.0,0.0,0,1654593327.6093743
78,1,722.0,752.0,0.0,0,1654593327.617708
79,1,724.0,767.0,0.0,0,1654593327.6260626
80,1,724.0,780.0,0.0,0,1654593327.634391
81,1,727.0,797.0,0.0,0,1654593327.6427436
82,1,728.0,811.0,0.0,0,1654593327.651003
83,1,730.0,827.0,0.0,0,1654593327.6594174
