Frame,Visibility,X,Y,Z,Event,Timestamp
0,1,969.0,319.0,0.0,0,1654595489.122374
1,1,965.0,318.0,0.0,0,1654595489.130767
2,1,962.0,316.0,0.0,0,1654595489.1390483
3,1,958.0,315.0,0.0,0,1654595489.147325
4,1,955.0,313.0,0.0,0,1654595489.1557045
5,1,951.0,312.0,0.0,0,1654595489.1640294
6,1,948.0,310.0,0.0,0,1654595489.1723616
7,1,944.0,308.0,0.0,0,1654595489.1806931
8,1,941.0,307.0,0.0,0,1654595489.1890526
9,1,938.0,306.0,0.0,0,1654595489.1973748
10,1,934.0,305.0,0.0,0,1654595489.2057526
11,1,931.0,304.0,0.0,0,1654595489.214053
12,1,927.0,305.0,0.0,0,1654595489.222376
13,1,923.0,304.0,0.0,0,1654595489.2306778
14,1,920.0,305.0,0.0,0,1654595489.2390342
15,1,916.0,305.0,0.0,0,1654595489.2474432
16,1,912.0,306.0,0.0,0,1654595489.25568
17,1,908.0,307.0,0.0,0,1654595489.2641044
18,1,905.0,308.0,0.0,0,1654595489.2723663
19,1,901.0,308.0,0.0,0,1654595489.2807145
20,1,898.0,309.0,0.0,0,1654595489.2890687
21,1,894.0,311.0,0.0,0,1654595489.297356
22,1,890.0,312.0,0.0,0,1654595489.305722
23,1,886.0,314.0,0.0,0,1654595489.3140955
24,1,882.0,316.0,0.0,0,1654595489.322396
25,1,878.0,319.0,0.0,0,1654595489.3307376
26,1,874.0,322.0,0.0,0,1654595489.3391173
27,1,870.0,324.0,0.0,0,1654595489.3474312
28,1,867.0,327.0,0.0,0,1654595489.3557415
29,1,862.0,331.0,0.0,0,1654595489.364074
30,1,859.0,333.0,0.0,0,1654595489.3724337
31,1,854.0,337.0,0.0,0,1654595489.3807182
32,1,851.0,342.0,0.0,0,1654595489.389073
33,1,846.0,347.0,0.0,0,1654595489.3974056
34,1,841.0,351.0,0.0,0,1654595489.4057248
35,1,837.0,356.0,0.0,0,1654595489.414078
36,1,833.0,361.0,0.0,0,1654595489.4223278
37,1,828.0,366.0,0.0,0,1654595489.4306693
38,1,823.0,371.0,0.0,0,1654595489.4390008
39,1,819.0,377.0,0.0,0,1654595489.4473407
40,1,815.0,384.0,0.0,0,1654595489.4556484
41,1,811.0,389.0,0.0,0,1654595489.463989
42,1,805.0,396.0,0.0,0,1654595489.472335
43,1,801.0,403.0,0.0,0,1654595489.4805908
44,1,795.0,411.0,0.0,0,1654595489.4889235
45,1,791.0,418.0,0.0,0,1654595489.49726
46,1,787.0,426.0,0.0,0,1654595489.5055835
47,1,781.0,434.0,0.0,0,1654595489.5139184
48,1,777.0,442.0,0.0,0,1654595489.5222657
49,1,772.0,451.0,0.0,0,1654595489.5305932
50,1,766.0,459.0,0.0,0,1654595489.5390148
51,1,760.0,470.0,0.0,0,1654595489.547316
52,1,756.0,480.0,0.0,0,1654595489.555644
53,1,751.0,490.0,0.0,0,1654595489.5639906
54,1,745.0,500.0,0.0,0,1654595489.572306
55,1,740.0,511.0,0.0,0,1654595489.5806413
56,1,736.0,521.0,0.0,0,1654595489.588971
57,1,730.0,532.0,0.0,0,1654595489.5973108
58,1,724.0,545.0,0.0,0,1654595489.605657
59,1,719.0,557.0,0.0,0,1654595489.6139803
60,1,713.0,569.0,0.0,0,1654595489.6223068
61,1,708.0,582.0,0.0,0,1654595489.6305838
62,1,702.0,594.0,0.0,0,1654595489.6389115
63,1,696.0,608.0,0.0,0,1654595489.6472433
64,1,691.0,622.0,0.0,0,1654595489.655568
65,1,685.0,635.0,0.0,0,1654595489.663901
66,1,679.0,650.0,0.0,0,1654595489.6722326
67,1,674.0,664.0,0.0,0,1654595489.6805797
68,1,668.0,680.0,0.0,0,1654595489.6889026
69,1,663.0,694.0,0.0,0,1654595489.6972494
70,1,658.0,709.0,0.0,0,1654595489.705587
71,1,652.0,725.0,0.0,0,1654595489.7139084
72,1,646.0,740.0,0.0,0,1654595489.722232
73,1,640.0,754.0,0.0,0,1654595489.730563
74,1,635.0,772.0,0.0,0,1654595489.7389202
75,1,629.0,789.0,0.0,0,1654595489.747223
76,1,623.0,805.0,0.0,0,1654595489.7556558
77,1,617.0,821.0,0.0,0,1654595489.7638924
78,1,611.0,838.0,0.0,0,1654595489.7722323
79,1,607.0,854.0,0.0,0,1654595489.7805662
80,1,602.0,870.0,0.0,0,1654595489.7889247
