Frame,Visibility,X,Y,Z,Event,Timestamp
73177,0,0.0,0.0,0.0,0,1654595938.0751045
73178,0,0.0,0.0,0.0,0,1654595938.0833344
73179,0,0.0,0.0,0.0,0,1654595938.0917296
73180,0,0.0,0.0,0.0,0,1654595938.1000896
73181,0,0.0,0.0,0.0,0,1654595938.108381
73182,0,0.0,0.0,0.0,0,1654595938.116715
73183,0,0.0,0.0,0.0,0,1654595938.125056
73184,0,0.0,0.0,0.0,0,1654595938.1334383
73185,0,0.0,0.0,0.0,0,1654595938.141759
73186,0,0.0,0.0,0.0,0,1654595938.1500952
73187,0,0.0,0.0,0.0,0,1654595938.1584616
73188,0,0.0,0.0,0.0,0,1654595938.166808
73189,0,0.0,0.0,0.0,0,1654595938.1751325
73190,0,0.0,0.0,0.0,0,1654595938.1833942
73191,0,0.0,0.0,0.0,0,1654595938.191778
73192,0,0.0,0.0,0.0,0,1654595938.2001083
73193,0,0.0,0.0,0.0,0,1654595938.2084608
73194,0,0.0,0.0,0.0,0,1654595938.2167878
73195,0,0.0,0.0,0.0,0,1654595938.2250216
73196,0,0.0,0.0,0.0,0,1654595938.233386
73197,0,0.0,0.0,0.0,0,1654595938.2417817
73198,0,0.0,0.0,0.0,0,1654595938.2500815
73199,0,0.0,0.0,0.0,0,1654595938.2584586
73200,0,0.0,0.0,0.0,0,1654595938.2668023
73201,0,0.0,0.0,0.0,0,1654595938.2751238
73202,0,0.0,0.0,0.0,0,1654595938.283452
73203,0,0.0,0.0,0.0,0,1654595938.2917466
73204,0,0.0,0.0,0.0,0,1654595938.300104
73205,0,0.0,0.0,0.0,0,1654595938.3084168
73206,0,0.0,0.0,0.0,0,1654595938.316751
73207,0,0.0,0.0,0.0,0,1654595938.3250322
73208,0,0.0,0.0,0.0,0,1654595938.333423
73209,0,0.0,0.0,0.0,0,1654595938.3417766
73210,0,0.0,0.0,0.0,0,1654595938.3500812
73211,0,0.0,0.0,0.0,0,1654595938.3584037
73212,0,0.0,0.0,0.0,0,1654595938.3667345
73213,0,0.0,0.0,0.0,0,1654595938.3750916
73214,0,0.0,0.0,0.0,0,1654595938.3834157
73215,0,0.0,0.0,0.0,0,1654595938.3917103
73216,0,0.0,0.0,0.0,0,1654595938.400094
73217,0,0.0,0.0,0.0,0,1654595938.408422
73218,0,0.0,0.0,0.0,0,1654595938.416728
73219,0,0.0,0.0,0.0,0,1654595938.4250712
73220,0,0.0,0.0,0.0,0,1654595938.43343
73221,0,0.0,0.0,0.0,0,1654595938.4417531
73222,0,0.0,0.0,0.0,0,1654595938.4500835
73223,0,0.0,0.0,0.0,0,1654595938.458393
73224,0,0.0,0.0,0.0,0,1654595938.46675
73225,0,0.0,0.0,0.0,0,1654595938.4751136
73226,0,0.0,0.0,0.0,0,1654595938.483385
73227,0,0.0,0.0,0.0,0,1654595938.4917738
73228,0,0.0,0.0,0.0,0,1654595938.5000994
73229,0,0.0,0.0,0.0,0,1654595938.508417
73230,0,0.0,0.0,0.0,0,1654595938.5167556
73231,0,0.0,0.0,0.0,0,1654595938.5250058
73232,0,0.0,0.0,0.0,0,1654595938.5334156
73233,0,0.0,0.0,0.0,0,1654595938.541726
73234,0,0.0,0.0,0.0,0,1654595938.55007
73235,0,0.0,0.0,0.0,0,1654595938.5583954
73236,0,0.0,0.0,0.0,0,1654595938.5666735
73237,0,0.0,0.0,0.0,0,1654595938.5750334
73238,0,0.0,0.0,0.0,0,1654595938.5834074
73239,0,0.0,0.0,0.0,0,1654595938.5917544
73240,0,0.0,0.0,0.0,0,1654595938.6000538
73241,0,0.0,0.0,0.0,0,1654595938.6084037
73242,0,0.0,0.0,0.0,0,1654595938.6167068
73243,0,0.0,0.0,0.0,0,1654595938.625014
73244,0,0.0,0.0,0.0,0,1654595938.6333697
73245,0,0.0,0.0,0.0,0,1654595938.641714
73246,0,0.0,0.0,0.0,0,1654595938.6500216
73247,0,0.0,0.0,0.0,0,1654595938.6584098
73248,0,0.0,0.0,0.0,0,1654595938.6666875
73249,0,0.0,0.0,0.0,0,1654595938.675047
73250,0,0.0,0.0,0.0,0,1654595938.6833296
73251,0,0.0,0.0,0.0,0,1654595938.691665
73252,0,0.0,0.0,0.0,0,1654595938.699999
73253,0,0.0,0.0,0.0,0,1654595938.7083268
73254,0,0.0,0.0,0.0,0,1654595938.7166452
73255,0,0.0,0.0,0.0,0,1654595938.724995
73256,0,0.0,0.0,0.0,0,1654595938.7333336
73257,0,0.0,0.0,0.0,0,1654595938.7416618
73258,0,0.0,0.0,0.0,0,1654595938.7499888
73259,0,0.0,0.0,0.0,0,1654595938.7583475
73260,0,0.0,0.0,0.0,0,1654595938.7666366
73261,0,0.0,0.0,0.0,0,1654595938.7750535
73262,0,0.0,0.0,0.0,0,1654595938.7833395
73263,0,0.0,0.0,0.0,0,1654595938.7916484
73264,0,0.0,0.0,0.0,0,1654595938.7999935
