Frame,Visibility,X,Y,Z,Event,Timestamp
10940,0,0.0,0.0,0.0,0,1654589643.496586
10941,0,0.0,0.0,0.0,0,1654589643.5049489
10942,0,0.0,0.0,0.0,0,1654589643.5132575
10943,0,0.0,0.0,0.0,0,1654589643.521515
10944,0,0.0,0.0,0.0,0,1654589643.5298982
10945,0,0.0,0.0,0.0,0,1654589643.5382452
10946,0,0.0,0.0,0.0,0,1654589643.5465386
10947,0,0.0,0.0,0.0,0,1654589643.5549335
10948,0,0.0,0.0,0.0,0,1654589643.5632982
10949,0,0.0,0.0,0.0,0,1654589643.5715337
10950,0,0.0,0.0,0.0,0,1654589643.5799365
10951,0,0.0,0.0,0.0,0,1654589643.5882494
10952,0,0.0,0.0,0.0,0,1654589643.5965204
10953,0,0.0,0.0,0.0,0,1654589643.6049385
10954,0,0.0,0.0,0.0,0,1654589643.6133008
10955,0,0.0,0.0,0.0,0,1654589643.6216166
10956,0,0.0,0.0,0.0,0,1654589643.6299276
10957,0,0.0,0.0,0.0,0,1654589643.6382833
10958,0,0.0,0.0,0.0,0,1654589643.6466093
10959,0,0.0,0.0,0.0,0,1654589643.6549237
10960,0,0.0,0.0,0.0,0,1654589643.663251
10961,0,0.0,0.0,0.0,0,1654589643.6715648
10962,0,0.0,0.0,0.0,0,1654589643.6799068
10963,0,0.0,0.0,0.0,0,1654589643.6882644
10964,0,0.0,0.0,0.0,0,1654589643.696574
10965,0,0.0,0.0,0.0,0,1654589643.704923
10966,0,0.0,0.0,0.0,0,1654589643.713237
10967,0,0.0,0.0,0.0,0,1654589643.7215683
10968,0,0.0,0.0,0.0,0,1654589643.729904
10969,0,0.0,0.0,0.0,0,1654589643.738258
10970,0,0.0,0.0,0.0,0,1654589643.7465928
10971,0,0.0,0.0,0.0,0,1654589643.7549198
10972,0,0.0,0.0,0.0,0,1654589643.763229
10973,0,0.0,0.0,0.0,0,1654589643.7716112
10974,0,0.0,0.0,0.0,0,1654589643.779909
10975,0,0.0,0.0,0.0,0,1654589643.7882557
10976,0,0.0,0.0,0.0,0,1654589643.796589
10977,0,0.0,0.0,0.0,0,1654589643.8049178
10978,0,0.0,0.0,0.0,0,1654589643.8132386
10979,0,0.0,0.0,0.0,0,1654589643.8215082
10980,0,0.0,0.0,0.0,0,1654589643.829835
10981,0,0.0,0.0,0.0,0,1654589643.8382404
10982,0,0.0,0.0,0.0,0,1654589643.846584
10983,0,0.0,0.0,0.0,0,1654589643.8549302
10984,0,0.0,0.0,0.0,0,1654589643.8631616
10985,0,0.0,0.0,0.0,0,1654589643.871619
10986,0,0.0,0.0,0.0,0,1654589643.8799062
10987,0,0.0,0.0,0.0,0,1654589643.888238
10988,0,0.0,0.0,0.0,0,1654589643.8965557
10989,0,0.0,0.0,0.0,0,1654589643.9049196
10990,0,0.0,0.0,0.0,0,1654589643.9132154
10991,0,0.0,0.0,0.0,0,1654589643.9215553
10992,0,0.0,0.0,0.0,0,1654589643.9299128
10993,0,0.0,0.0,0.0,0,1654589643.938248
10994,0,0.0,0.0,0.0,0,1654589643.9465392
10995,0,0.0,0.0,0.0,0,1654589643.9548905
10996,0,0.0,0.0,0.0,0,1654589643.963271
10997,0,0.0,0.0,0.0,0,1654589643.9715593
10998,0,0.0,0.0,0.0,0,1654589643.9798677
10999,0,0.0,0.0,0.0,0,1654589643.9882078
11000,0,0.0,0.0,0.0,0,1654589643.9965472
11001,0,0.0,0.0,0.0,0,1654589644.004883
11002,0,0.0,0.0,0.0,0,1654589644.0132072
11003,0,0.0,0.0,0.0,0,1654589644.021561
11004,0,0.0,0.0,0.0,0,1654589644.029879
11005,0,0.0,0.0,0.0,0,1654589644.0382671
11006,0,0.0,0.0,0.0,0,1654589644.0465486
11007,0,0.0,0.0,0.0,0,1654589644.054896
11008,0,0.0,0.0,0.0,0,1654589644.063243
11009,0,0.0,0.0,0.0,0,1654589644.0715854
11010,0,0.0,0.0,0.0,0,1654589644.079911
11011,0,0.0,0.0,0.0,0,1654589644.088269
11012,0,0.0,0.0,0.0,0,1654589644.0965502
11013,0,0.0,0.0,0.0,0,1654589644.104876
11014,0,0.0,0.0,0.0,0,1654589644.1132426
